"","sample_record_identifier","Nearest_Temp_Val","Nearest_Sal_Val","pa_uku"
"108","Townsend Cromwell_32_8_1954",26.7,34.88,0
"109","Townsend Cromwell_32_14_1953",27.2,34.9,0
"110","Townsend Cromwell_32_22_1952",27,34.83,0
"111","Townsend Cromwell_32_28_1952",26.9,34.9,0
"112","Townsend Cromwell_32_33_1950",27.3,34.68,0
"113","Townsend Cromwell_32_39_1953",27.4,34.73,0
"114","Townsend Cromwell_32_46_1951",27.3,34.72,0
"115","Townsend Cromwell_32_55_1951",27.7,34.78,0
"116","Townsend Cromwell_32_56_1952",27.5,34.84,0
"117","Townsend Cromwell_32_79_350",27.3,34.8,0
"118","Townsend Cromwell_32_13_1154",26.7,34.9,0
"119","Townsend Cromwell_32_58_1221",27.3,34.84,0
